Material,Description,ProdLoc,BinSize,Qty,ProductionLine,StationCode,,,,,,
RE3408801,ASSIEME FERMA CONNETTORE(Plug),T7T8.STAT.D.3.1,S,50,T7T8.STAT,,,,,,,
RE3502001,SUPPORTO,T7T8.STAT.B.3.3,L,15,T7T8.STAT,,,,,,,
RE3691001,PR332/P LSIG FRONT LABEL T7(AB),T7T8.STAT.D.3.2,S,300,T7T8.STAT,,,,,,,
RP0414001,VITE_AUTOF_ACC_RT21589_3x6,T7T8.STAT.D.3.3,S,1000,T7T8.STAT,,,,,,,
RP0437001,SCREW TAPPING RT21589/3x8,T7T8.STAT.D.3.4,S,500,T7T8.STAT,,,,,,,
RA6521905,4 AUX 1 24V + 3 250V T8(AB),T7T8.STAT.E.4.1,L,30,T7T8.STAT,,,,,,,
RE3194801,PR331 RELAY GROUP,T7T8.STAT.E.3.1,M,20,T7T8.STAT,,,,,,,
1SDH000592R0001,GETTING STARTED PR331,T7T8.STAT.E.3.2,M,100,T7T8.STAT,,,,,,,
RE3193804,PR232 RELAY GROUP T8 (AB),T7T8.STAT.E.3.3,M,10,T7T8.STAT,,,,,,,
RA8752001,TARGHETTA UL T8V-D 2000 III,T7T8.STAT.E.1.1,S,1000,T7T8.STAT,,,,,,,
RA8752003,TARGHETTA UL T8V-D 2500 III,T7T8.STAT.E.1.2,S,1000,T7T8.STAT,,,,,,,
RA8375001,LABEL UL T8V 1600 III,T7T8.STAT.E.1.3,S,1000,T7T8.STAT,,,,,,,
RE1065001,T7-X1 PR331/P LSI FRONT LABEL,T7T8.STAT.E.1.4,S,1000,T7T8.STAT,,,,,,,
RE3411801,ASSIEME FERMACAVO PR23X_331,T7T8.STAT.E.1.5,S,70,T7T8.STAT,,,,,,,
RE3751001,SACE T8MCS(AB) FRONT LABEL,T7T8.STAT.E.1.6,S,100,T7T8.STAT,,,,,,,
RE3888001,T7-T8 MCS COVER TEST  LABEL (AB),T7T8.STAT.E.2.2,S,500,T7T8.STAT,,,,,,,
RE3236824,RATING PLUG 1200A UL (AB) T7-T7M-T8,T7T8.STAT.E.2.1,S,100,T7T8.STAT,,,,,,,
164803001,ACCES.LABEL E1/E6,T7T8.STAT.E.2.3,S,500,T7T8.STAT,,,,,,,
RB5699001,140G-R12S3-E25 LABEL,T7T8.STAT.E.2.4,S,500,T7T8.STAT,,,,,,,
RB7355001,SYMBOL_LABEL-ROCKWELL,T7T8.STAT.E.2.5,S,500,T7T8.STAT,,,,,,,
RB7528001,LABEL MCS RELAY,T7T8.STAT.E.2.6,S,500,T7T8.STAT,,,,,,,
RE3193802,PR232 RELAY GROUP T8,T7T8.STAT.E.3.4,M,100,T7T8.STAT,,,,,,,
RE2122001,SACE T7-T8 MCS COVER TEST  LABEL,T7T8.STAT.D.3.5,S,500,T7T8.STAT,,,,,,,
RE1066001,T7-X1 PR331/P LSIG FRONT LABEL,T7T8.STAT.D.3.6,S,500,T7T8.STAT,,,,,,,
1SDR001802A1809,Ekip Dip LSI In=25A XT2 3p,XT2 XT4 ATO.A.1.1,L,24,XT2 XT4 ATO,ST 140,,,,,,
1SDR001930A1701,XT2 3P Ekip Touch LSI 40A IEC/UL,XT2 XT4 ATO.A.1.2,L,24,XT2 XT4 ATO,ST 140,,,,,,
1SDR001930A1702,XT2 3P Ekip Touch LSI 60A UL,XT2 XT4 ATO.A.1.3,L,24,XT2 XT4 ATO,ST 140,,,,,,
